,project_id,property_type,sqft,zip,region,has_wood_frame,has_vert_wood_frame,has_horz_wood_frame,wf_vertconst,wf_horzconst,has_concrete,has_glu,num_floors,num_tenants,age
3160,457560,Office,11200,63031,MW,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,1,1,
3161,351729,Industrial,162,49426,MW,0,0,0,"[""Steel-framed""]","[""Open-web steel joists with steel decking""]",0,0,One and Two,One,
3162,328528,Industrial,154,85040,SW,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Steel-framed with steel decking and concrete topping""]",1,0,2 plus mezzanine,one,
3163,554555,Industrial,314500,40219,SE,0,0,0,"[""Precast concrete wall panels, concrete columns, steel stud partition framing""]","[""No upper floors present""]",1,0,One,1,
3164,560293,Industrial,72924,45439,MW,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns"", ""Steel-framed""]","[""No upper floors present""]",1,0,One,1,
3165,563380,Industrial,18980,07027,NE,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,One,3,
3166,384590,Office,43,90806,W,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,"4 story office building, with one  under-building parking level",1,
3167,371891,Industrial,121137,20774,NE,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""Steel-framed with steel decking and concrete topping""]",1,0,Two,,
3168,525059,Industrial,20225,60139,MW,0,0,0,"[""CMU load bearing walls, steel columns, steel stud partition framing""]","[""No upper floors present""]",1,0,One,2,
3169,294766,Industrial,36,48375,MW,1,0,1,"[""Concrete masonry unit load bearing walls with steel framing"", ""Steel-framed""]","[""Wood-framing with wood decking""]",1,0,2,None present,
3170,429284,Industrial,133,78154,SW,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,One with a mezzanine storage area,One,
3171,301597,Office,40154,37620,SE,0,0,0,"[""Concrete masonry unit load bearing walls with steel framing""]","[""Steel-framed with steel decking and concrete topping""]",1,0,1,3,
3172,449232,Industrial,22,94534,W,1,0,1,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Wood-framing with wood decking"", ""Open-web steel joists with steel decking""]",1,0,1 with mezzanine,up to 5,
3173,417145,Industrial,588,28777,SE,0,0,0,"[""Steel-framed""]","[""Open-web steel joists with steel decking""]",0,0,1 plus a mezzanine level,One,
3174,409122,Industrial,47,94608,W,1,0,1,"[""Precast concrete"", ""Concrete masonry unit load bearing walls with interior steel columns""]","[""Wood-framing with wood decking""]",1,0,One floor with a mezzanine,1,
3175,315073,Office,12,64063,MW,1,0,1,"[""Other"", ""loading bearing brick.""]","[""Wood-framing with wood decking""]",0,0,Two,5,
3176,347916,Office,44750,48322,MW,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""Steel-framed with steel decking and concrete topping""]",1,0,Two,15,
3177,381515,Industrial,560,07004,NE,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns"", ""Concrete masonry unit load bearing walls with interior steel columns""]","[""Open-web steel joists with steel decking""]",1,0,Two (2),One (1) - Legrand,
3178,404205,Office,175321,60062,MW,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,5,,
3179,440707,Office,21,42240,SE,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,One-story,One,
3180,340506,Office,44,29572,SE,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,Two,Two,
3181,397297,Industrial,58,08037,NE,0,0,0,"[""Steel-framed""]","[""No upper floors present""]",0,0,1,4,
3182,383404,Office,11,44484,MW,0,0,0,"[""CMU load-bearing exterior wall, concrete columns, steel stud partition framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,two with finished attic space on third floor,Four,
3183,413800,Industrial,195,45014,MW,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Mezzanine: Steel-framed and metal grating""]",1,0,one with mezzanine,One,
3184,381513,Industrial,185,27616,SE,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""Steel-framed with steel decking""]",1,0,1 (plus a mezzanine),One,
3185,461425,Industrial,19483,33458,SE,0,0,0,"[""Concrete tilt-up perimeter walls""]","[""No upper floors present""]",1,0,One,5,
3186,552432,Office,64246,02110,NE,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Cast-in-place concrete with concrete decking""]",1,0,7,10,
3187,561060,Office,44454,06702,NE,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,Four with basement,6,
3188,484671,Office,24000,35601,SE,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,6,0,
3189,485446,Office,109655,10012,NE,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""Steel-framed with steel decking and concrete topping""]",1,0,12,,
3190,546463,Industrial,93079,75050,SW,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""No upper floors present""]",1,0,One,3,
3191,410434,Industrial,53,48326,MW,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns"", ""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,"One (warehouse shop area)
Two (Office area)",One,
3192,378914,Industrial,74,46268,MW,1,0,1,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""Wood-framing with wood decking""]",1,0,One,One,
3193,543385,Industrial,72024,49417,MW,0,0,0,"[""Concrete masonry unit load bearing walls with interior steel columns"", ""Steel-framed""]","[""No upper floors present""]",1,0,1,1,
3194,545371,Industrial,117600,29303,SE,0,0,0,"[""Steel-framed""]","[""No upper floors present""]",0,0,1,3,
3195,486624,Office,4000,16335,NE,1,0,1,"[""Concrete masonry unit load bearing walls with interior steel columns""]","[""Wood-framing with wood decking and concrete topping""]",1,0,2 with basement,1,
3196,486537,Office,2550,93301,W,1,1,0,"[""Wood-framed""]","[""No upper floors present""]",0,0,One,1,
3197,302709,Office,17,94306,W,0,0,0,"[""Cast-in-place concrete"", ""Steel-framed""]","[""Open-web steel joists with steel decking""]",1,0,Three,None present,
3198,369568,Office,136,77072,SW,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,2,Two,
3199,404486,Office,35,17601,NE,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,Three,2,
3200,331420,Industrial,126,44236,MW,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Light-gauge steel and metal decking with concrete fill""]",1,0,Two,Two,
3201,366623,Office,98,28262,SE,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns"", ""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,Three,One,
3202,379550,Industrial,185,38655,SE,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,Single story - 30-clear height,One (1),
3203,428122,Office,97,08512,NE,0,0,0,"[""Conventional steel framing, isolated CMU, steel stud partition framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,Three,28 (three vacant),
3204,408963,Industrial,31884,08901,NE,1,0,1,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Conventional wood frame and wood decking ""]",1,0,1 with mezzanine,1,
3205,561884,Industrial,95507,28269,SE,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""Open-web steel joists and metal decking with concrete fill""]",1,0,One plus mezzanine,2,
3206,559395,Office,53363,07109,NE,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking""]",0,0,Six floors and a basement,36,
3207,558198,Office,248645,80246,W,0,0,0,"[""Precast concrete""]","[""Precast concrete with concrete decking""]",1,0,12 plus basement,81,
3208,536580,Industrial,38000,01201,NE,0,0,0,"[""Steel-framed""]","[""No upper floors present""]",0,0,One,1,
3209,534738,Industrial,432936,46118,MW,0,0,0,"[""Concrete tilt-up perimeter walls with interior steel columns""]","[""No upper floors present""]",1,0,One,1,
3210,534179,Office,123268,90245,W,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Cast-in-place concrete with concrete decking""]",1,0,6,13,
3211,536607,Industrial,3100,60409,MW,0,0,0,"[""CMU load-bearing exterior wall, concrete columns, steel stud partition framing""]","[""Cast-in-place concrete with concrete decking""]",1,0,One plus basement,1,
3212,534279,Office,322765,10022,NE,0,0,0,"[""Cast-in-place exterior concrete walls & interior columns, steel stud partition framing""]","[""Cast-in-place concrete with concrete decking""]",1,0,42,4,
3213,535565,Industrial,26170,30168,SE,0,0,0,"[""Pre-engineered steel structure""]","[""No upper floors present""]",0,0,Single-story with mezzanine,1,
3214,609905,Industrial,72269,80112,W,0,0,0,"[""Precast concrete wall panels, steel columns, steel stud framing""]","[""No upper floors present""]",1,0,One,3,24
3215,611830,Industrial,10500,28217,SE,0,0,0,"[""Pre-fab metal""]","[""No upper floors present""]",0,0,One,1,33
3219,377917,Office,154,85029,SW,0,0,0,"[""Steel-framed""]","[""Steel-framed with steel decking and concrete topping""]",1,0,Three,1,
3220,353783,Industrial,290,93065,W,0,0,0,"[""Tilt-up concrete walls & CIP columns, steel stud framing""]","[""Conventional steel frame and metal deck with concrete fill""]",1,0,Two,One,
3221,306683,Office,70,94115,W,0,0,0,"[""Cast-in-place concrete""]","[""Cast-in-place concrete with concrete decking""]",1,0,Three,43,
